Year,Avg_Adjusted_Close
2001,3.92
2002,4.47
2003,5.43
2004,9.03
2005,10.70
2006,14.12
2007,11.13
2008,6.03
2009,6.45
2010,10.37
2011,15.70
2012,21.21
2013,28.60
2014,32.16
2015,46.54
2016,49.71
2017,50.78
2018,51.99
2019,76.40
2020,78.54
2021,107.28
2022,86.11
2023,104.79
